col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13
14 Taylor St,01835-703597,Alan D Rosenburg Cpa Pc,,Tomkiewicz,Aleshia,,St. Stephens Ward,Kent,CT2 7PP,01944-369967,atomkiewicz@hotmail.com,http://www.alandrosenburgcpapc.co.uk
5 Binney St,01937-864715,Cap Gemini America,,Zigomalas,Evan,,Abbey Ward,Buckinghamshire,HP11 2AX,01714-737668,evan.zigomalas@gmail.com,http://www.capgeminiamerica.co.uk
8 Moor Place,01347-368222,"Elliott, John W Esq",,Andrade,France,,East Southbourne and Tuckton W,Bournemouth,BH6 3BE,01935-821636,france.andrade@hotmail.com,http://www.elliottjohnwesq.co.uk
505 Exeter Rd,01912-771311,"Mcmahan, Ben L",,Mcwalters,Ulysses,,Hawerby cum Beesby,Lincolnshire,DN36 5RP,01302-601380,ulysses@hotmail.com,http://www.mcmahanbenl.co.uk
5396 Forth Street,01547-429341,Champagne Room,,Veness,Tyisha,,Greets Green and Lyng Ward,West Midlands,B70 9DT,01290-367248,tyisha.veness@hotmail.com,http://www.champagneroom.co.uk
9472 Lind St,01969-886290,"Thompson, Michael C Esq",,Rampy,Eric,,Desborough,Northamptonshire,NN14 2GH,01545-817375,erampy@rampy.co.uk,http://www.thompsonmichaelcesq.co.uk
7457 Cowl St #70,01865-582516,Wrangle Hill Auto Auct & Slvg,,Grasmick,Marg,,Bargate Ward,Southampton,SO14 3TY,01362-620532,marg@hotmail.com,http://www.wranglehillautoauctslvg.co.uk
20 Gloucester Pl #96,01746-394243,In Communications Inc,,Hisaw,Laquita,,Chirton Ward,Tyne & Wear,NE29 7AD,01590-982428,laquita@yahoo.com,http://www.incommunicationsinc.co.uk
929 Augustine St,01907-538509,Bizerba Usa Inc,,Manzella,Lura,,Staple Hill Ward,South Gloucestershire,BS16 4LL,01340-713951,lura@hotmail.com,http://www.bizerbausainc.co.uk
45 Bradfield St #166,01903-649460,Max Video,,Klapec,Yuette,,Parwich,Derbyshire,DE6 1QN,01933-512513,yuette.klapec@klapec.co.uk,http://www.maxvideo.co.uk
620 Northampton St,01630-202053,K & R Associates Inc,,Writer,Fernanda,,Wilmington,Kent,DA2 7PP,01687-879391,fernanda@writer.co.uk,http://www.krassociatesinc.co.uk
5 Hygeia St,01276-816806,"Cain, John M Esq",,Erm,Charlesetta,,Loundsley Green Ward,Derbyshire,S40 4LY,01517-624517,charlesetta_erm@gmail.com,http://www.cainjohnmesq.co.uk
2150 Morley St,01625-932209,Sound Vision Corp,,Jaret,Corrinne,,Dee Ward,Dumfries and Galloway,DG8 7DE,01642-322954,corrinne_jaret@gmail.com,http://www.soundvisioncorp.co.uk
24 Bolton St,01874-856950,Rowley/hansell Petetin,,Bruch,Niesha,,"Broxburn, Uphall and Winchburg",West Lothian,EH52 5TL,01342-793603,niesha.bruch@yahoo.com,http://www.rowleyhansellpetetin.co.uk
4 Forrest St,01976-755279,Industrial Engineering Assocs,,Gastellum,Rueben,,Weston-Super-Mare,North Somerset,BS23 3HG,01956-535511,rueben_gastellum@gastellum.co.uk,http://www.industrialengineeringassocs.co.uk
89 Noon St,01967-580851,Weiss Spirt & Guyer,,Throssell,Michell,,Carbrooke,Norfolk,IP25 6JQ,01672-496478,mthrossell@throssell.co.uk,http://www.weissspirtguyer.co.uk
99 Guthrie St,01326-532337,"Crowan, Kenneth W Esq",,Kanne,Edgar,,New Milton,Hampshire,BH25 5DF,01666-638176,edgar.kanne@yahoo.com,http://www.crowankennethwesq.co.uk
7 Richmond St,01253-528327,Rittenhouse Motor Co,,Julio,Dewitt,,Parkham,Devon,EX39 5DJ,01241-964675,dewitt.julio@hotmail.com,http://www.rittenhousemotorco.co.uk
9165 Primrose St,01719-831436,Modern Plastics Corp,,Spinello,Charisse,,Darnall Ward,"Yorkshire, South",S4 7WN,01207-428520,charisse_spinello@spinello.co.uk,http://www.modernplasticscorp.co.uk
9 Pengwern St,01578-287816,Galloway Electric Co Inc,,Lapinski,Mee,,Marldon,Devon,TQ3 1SA,01939-815208,mee.lapinski@yahoo.com,http://www.gallowayelectriccoinc.co.uk
4410 Tarlton St,01842-767201,Niagara Custombuilt Mfg Co,,Gutierres,Peter,,Prestatyn Community,Denbighshire,LL19 9EG,01859-648598,peter_gutierres@yahoo.com,http://www.niagaracustombuiltmfgco.co.uk
6949 Bourne St,01552-709248,Practical Periphrals,,Salvadore,Octavio,,Lye and Stourbridge North Ward,West Midlands,DY5 2QP,01743-139456,octavio.salvadore@yahoo.com,http://www.practicalperiphrals.co.uk
148 Rembrandt St,01677-684257,"Curtin, Patricia M Esq",,Teplica,Martha,,Warlingham,Surrey,CR6 9SW,01583-287367,mteplica@teplica.co.uk,http://www.curtinpatriciamesq.co.uk
2200 Nelson St #58,01217-342071,"Wilhelm, James E Jr",,Veigel,Tamesha,,Newport,Isle of Wight,PO30 5AL,01280-786847,tveigel@veigel.co.uk,http://www.wilhelmjamesejr.co.uk
61 Rossett St,01473-229124,Smart Signs,,Sitra,Tess,,Chichester,West Sussex,PO19 1RH,01848-116775,tess_sitra@hotmail.com,http://www.smartsigns.co.uk
41 Canning St,01230-623547,Arctic Star Distributing Inc,,Kufner,Leonard,,Steornabhagh a Deas Ward,Western Isles,HS1 2PZ,01604-718601,lkufner@kufner.co.uk,http://www.arcticstardistributinginc.co.uk
8289 Cadogan St,01781-827317,"Lensbower, Gregory L Esq",,Tauras,Svetlana,,South Ward,North Eart Lincolnshire,DN33 1AU,01509-121140,svetlana_tauras@tauras.co.uk,http://www.lensbowergregorylesq.co.uk
211 Hobart St,01866-248660,Portal Metal Products,,Molaison,Pok,,Newquay,Cornwall,TR7 1LS,01315-284286,pok@yahoo.com,http://www.portalmetalproducts.co.uk
114 Falkland St #8845,01541-802635,"Lynema, Cliff Cpa",,Growcock,Augustine,,Brimpton,Berkshire,RG7 4RF,01926-108010,augustine.growcock@growcock.co.uk,http://www.lynemacliffcpa.co.uk
1 Birkett St,01857-864722,J C S Machinery,,Quarto,Karma,,Shard End Ward,West Midlands,B33 0NH,01307-667811,kquarto@gmail.com,http://www.jcsmachinery.co.uk
5147 Blackstone St,01243-678286,"Berick, Joseph G Esq",,Weisinger,Reed,,Letchworth South West Ward,Hertfordshire,SG6 3LE,01292-297245,reed_weisinger@yahoo.com,http://www.berickjosephgesq.co.uk
7 Shenstone St,01400-269033,Jackson & Heit Machine Co Inc,,Zelaya,German,,Longhill Ward,"Yorkshire, East (North Humbers",HU8 9PZ,01366-210656,german@hotmail.com,http://www.jacksonheitmachinecoinc.co.uk
129 Alexander Pope St,01702-725589,Bridgeway Plan For Health,,Savidge,Milly,,Franche Ward,Hereford and Worcester,DY11 9BW,01421-132652,milly@gmail.com,http://www.bridgewayplanforhealth.co.uk
2 Birchfield Rd,01462-648669,Wa Inst For Plcy Studies,,Ear,Luis,,Whittington,Shropshire,SY11 4PH,01405-648623,luis@hotmail.com,http://www.wainstforplcystudies.co.uk
7523 Kempton Rd,01235-647932,Wmgl 101.7 Fm,,Cobbley,Ciara,,Cockerton West Ward,Darlington,DL3 0JF,01809-443217,ciara_cobbley@hotmail.com,http://www.wmglfm.co.uk
6305 Elstow St,01662-114247,"Hughlett, Henry T Jr",,Mould,Alethea,,Castle Ward,West Sussex,BN12 6PR,01351-868965,alethea@hotmail.com,http://www.hughletthenrytjr.co.uk
