Commerce: CC,Commerce: CC type,Commerce: Currency,Commerce: Currency code,Commerce: money,Commerce: money big
5893879738582415259,maestro,Marka,BAM,$3.55,$4445814.22
3534784059106540,jcb,Yuan Renminbi,CNY,$9.14,$1622024.63
3559557379609207,jcb,Yuan Renminbi,CNY,$0.14,$9737411.86
6709846683208166,laser,Euro,EUR,$5.60,$4800795.72
3541112794922263,jcb,Dollar,CAD,$4.31,$8991017.77
5610336923327489,bankcard,Peso,ARS,$9.32,$9986361.00
5108754373935271,mastercard,Dinar,RSD,$8.83,$7725737.42
6331104592234675,switch,Euro,EUR,$3.36,$1899545.02
372301313909295,americanexpress,Euro,EUR,$3.79,$9932117.46
4913752720398944,visa-electron,Yuan Renminbi,CNY,$9.33,$6425.75
3570071595253761,jcb,Euro,EUR,$0.28,$4403725.27
3554914527092064,jcb,Ariary,MGA,$5.29,$151951.76
30549120177076,diners-club-carte-blanche,Real,BRL,$6.69,$9039305.19
201697719644734,diners-club-enroute,Rupiah,IDR,$7.16,$630695.87
347736925706450,americanexpress,Zloty,PLN,$0.91,$5027772.44
060418935281413341,maestro,Peso,ARS,$7.98,$921340.54
3558219948208125,jcb,Euro,EUR,$8.68,$8021103.73
5577553734321300,mastercard,Yuan Renminbi,CNY,$1.52,$4962593.31
3530688999896587,jcb,Euro,EUR,$3.96,$3548546.11
5602217413162182,bankcard,Euro,EUR,$2.84,$7976337.85
3568675414852001,jcb,Yen,JPY,$6.41,$5748621.41
4250463164523911,visa,Peso,COP,$1.23,$9057968.73
5602233700434796,bankcard,Yuan Renminbi,CNY,$1.48,$5126557.17
4913374743300268,visa-electron,Rand,ZAR,$7.97,$3040892.15
5100139596434864,mastercard,Leone,SLL,$5.11,$6746097.62
67091151205009137,laser,Real,BRL,$8.80,$9384339.69
3548192128214549,jcb,Shekel,ILS,$0.90,$5502049.14
3530509388723564,jcb,Guarani,PYG,$9.40,$8351482.89
5531922993695230,mastercard,Euro,EUR,$5.21,$9110987.43
6370280355335255,instapayment,Yuan Renminbi,CNY,$8.63,$120697.91
3561329934381227,jcb,Euro,EUR,$7.96,$2235563.84
3571925263963010,jcb,Yuan Renminbi,CNY,$4.36,$3667899.42
3554460836739680,jcb,Tugrik,MNT,$4.87,$29652.45
3551525431474199,jcb,Krona,SEK,$8.50,$4700009.28
