customer_n,identifier,tel,c_nme
"Foss, Jason",1192991000,(949) 569-4371,Bizzingo
"Roup,Simon",1106026933,800 456 8321,Bizzler Corporation
"Ruiz, Ricardo",1001175250,(630) 446-8851,Bizzuka
"Monroe, Peter",1011022863,1-888-432-0983,BJ100.com
"Dougall, Eric",1101023754,(226) 906-2721,Bjond
"Clayton, Rick",1301052902,(671) 925-1352,Bkam
"Galia, Lisa",1501072093,617 584 5680,BL Healthcare
"Lindsay, Leonara ",602000312,1-888-432-0983,Blaast
"Soto, Julia ",1203032263,(251) 546-9442,Blab Inc.
"Bacong, Alejandro ",1212052023,212-345-9078,blabfeed
"Cisco, Anthony",1102024173,(125) 546-4477,BlaBlaCar
"Dolan, Linda",1101023540,(949) 569-4371,Blabroom
"Gonzalez, Maria",1988299991,800 456 8321,Altia Systems
"Merlos, Carlos",1012023013,(630) 446-8851,Alticast
"Morway, Tanya",1001956578,1-888-432-0983,Altierre
"Shepard, Anita ",906014183,(226) 906-2721,AltiGen Communications
"Tredinnick, Neville ",1104025466,(671) 925-1352,Blokify
"Turpin, Jumil",1411071506,617 584 5680,Blokkd Inc.
"Ait Sidi, Karthikeyan   ",1307060199,1-888-432-0983,Blomming
"Carr, Claudia  N",1010022337,(251) 546-9442,BlooBox
"Favis, Donald  ",1412071562,212-345-9078,Blood cell Storage
"Roehrich, Bianca",1111030266,(125) 546-4477,"Blood Monitoring Solutions, Inc."
"Daniele, Ann  ",1411071312,(949) 569-4371,Altia Systems
"Lajiri,  Jyoti",1108028108,800 456 8321,Alticast
"Semizoglou, Jeremiah  ",904013591,(630) 446-8851,Altierre
"South, Joe",1308060959,1-888-432-0983,AltiGen Communications
"Warfield, Sarah",1301052347,(226) 906-2721,ALTILIA
"Bramante, Elisa",1006020066,(671) 925-1352,Blackstar Amplification
"Albert, Michael  ",1501072311,617 584 5680,Blackstone Digital Agency
"Bozzi, Charles",1303054580,1-888-432-0983,Blackstrap
"Butler, Webster  L",1110029990,(251) 546-9442,BlackStratus
"Dunn, Amy  ",1409070147,212-345-9078,Blacksumac
"Gray, Elijiah  ",1307060077,(125) 546-4477,Blackwave
"Hogland, Jonathan ",1001944783,(949) 569-4371,Althea Systems
"Immediato, Walter",1403065874,800 456 8321,AltheaDx
"Liebig, Ketsia",1103024679,(630) 446-8851,Altheos
"Miller, Brannon",1107027351,1-888-432-0983,AltheRx Pharmaceuticals
"Peterson, Ebonee  ",1402065355,(226) 906-2721,Altheus Therapeutics
"Spirea, Kelley",1102024149,(671) 925-1352,ALTHIA
